EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:27:56"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,CatchFleetGroup

TimeStep,Fleet,Group,Value
127,2,13,0.05796417
127,2,14,0.2004497
127,3,11,0.00461529
127,3,12,0.0259232
128,1,17,0.04908555
128,1,18,0.129888
128,2,13,0.05792103
128,2,14,0.2017803
128,3,11,0.004565349
128,3,12,0.02614061
129,1,17,0.04928807
129,1,18,0.1299548
129,2,13,0.05792153
129,2,14,0.2029716
129,3,11,0.004507032
129,3,12,0.02634391
130,1,17,0.0495265
130,1,18,0.1300141
130,2,13,0.05795524
130,2,14,0.2040598
130,3,11,0.00444484
130,3,12,0.02652451
131,1,17,0.04980168
131,1,18,0.1300742
131,2,13,0.05801117
131,2,14,0.2050792
131,3,11,0.004381798
131,3,12,0.02667777
132,1,17,0.05010867
132,1,18,0.1301408
132,2,13,0.05807825
132,2,14,0.2060656
132,3,11,0.004319819
132,3,12,0.02680179
133,1,17,0.05582964
133,1,18,0.1078125
133,2,13,0.08515941
133,2,14,0.2017766
133,3,11,0.002798093
133,3,12,0.04352302
134,1,17,0.05575794
134,1,18,0.1083283
134,2,13,0.08114239
134,2,14,0.1990289
134,3,11,0.002570761
134,3,12,0.04172647
135,1,17,0.05566261
135,1,18,0.1086576
135,2,13,0.0766113
135,2,14,0.1952785
135,3,11,0.002357975
135,3,12,0.03965447
136,1,17,0.05556373
136,1,18,0.1088112
136,2,13,0.07178818
136,2,14,0.1908232
136,3,11,0.002169291
136,3,12,0.03749895
137,1,17,0.05542898
137,1,18,0.1088297
137,2,13,0.06682915
137,2,14,0.1859534
137,3,11,0.002004456
137,3,12,0.03540092
138,1,17,0.05522324
138,1,18,0.1087415
138,2,13,0.06186961
138,2,14,0.1809282
138,3,11,0.001859479
138,3,12,0.03345828
139,1,17,0.05597693
139,1,18,0.1072428
139,2,13,0.05772008
139,2,14,0.1745833
139,3,11,0.001729359
139,3,12,0.03173321
140,1,17,0.05665563
140,1,18,0.1057183
140,2,13,0.05362086
140,2,14,0.1685699
140,3,11,0.001606156
140,3,12,0.03025459
141,1,17,0.05725595
141,1,18,0.1041442
141,2,13,0.04966326
141,2,14,0.1630373
141,3,11,0.001485432
141,3,12,0.0290388
142,1,17,0.05778771
142,1,18,0.1025081
142,2,13,0.04590736
142,2,14,0.1580959
142,3,11,0.00136432
142,3,12,0.02808134
143,1,17,0.05826788
143,1,18,0.1008086
143,2,13,0.04239915
143,2,14,0.1538139
143,3,11,0.001242604
143,3,12,0.02736631
144,1,17,0.0587181
144,1,18,0.09905355
144,2,13,0.0391766
144,2,14,0.1502432
144,3,11,0.001122366
144,3,12,0.02687173
145,1,17,0.04393544
145,1,18,0.1286067
145,2,13,0.04010174
145,2,14,0.1372265
145,3,11,0.002432873
145,3,12,0.0319599
146,1,17,0.04472542
146,1,18,0.1249668
146,2,13,0.03883276
146,2,14,0.1374765
146,3,11,0.002299639
146,3,12,0.03300148
147,1,17,0.04564254
147,1,18,0.1217085
147,2,13,0.03796107
147,2,14,0.1392334
147,3,11,0.00216853
147,3,12,0.03456302
148,1,17,0.0466497
148,1,18,0.1188164
148,2,13,0.03713782
148,2,14,0.1420768
148,3,11,0.002026946
148,3,12,0.03630513
149,1,17,0.04770297
149,1,18,0.1162776
149,2,13,0.03626532
149,2,14,0.1455432
149,3,11,0.001888927
149,3,12,0.03794484
150,1,17,0.04876592
150,1,18,0.1140757
150,2,13,0.03539026
150,2,14,0.1492427
150,3,11,0.001776009
150,3,12,0.03931398
151,1,17,0.04872786
151,1,18,0.114348
151,2,13,0.03447266
151,2,14,0.1531155
151,3,11,0.001728631
151,3,12,0.04028299
152,1,17,0.04863541
152,1,18,0.114665
152,2,13,0.03375788
152,2,14,0.156759
152,3,11,0.001753034
152,3,12,0.0408911
153,1,17,0.04848907
153,1,18,0.1150004
153,2,13,0.03332099
153,2,14,0.1600501
153,3,11,0.001858065
153,3,12,0.04116389
154,1,17,0.04828635
154,1,18,0.1153541
154,2,13,0.03323137
154,2,14,0.1629099
154,3,11,0.002048829
154,3,12,0.04114009
155,1,17,0.04801648
155,1,18,0.1157625
155,2,13,0.03355482
155,2,14,0.1652882
155,3,11,0.002327199
155,3,12,0.04086062
156,1,17,0.04768727
156,1,18,0.1162188
156,2,13,0.03435349
156,2,14,0.1671558
156,3,11,0.002691593
156,3,12,0.04036471
157,1,17,0.07195579
157,1,18,0.0947561
157,2,13,0.02505215
157,2,14,0.1855027
157,3,11,0.002094228
157,3,12,0.06046342
158,1,17,0.07009775
158,1,18,0.0957279
158,2,13,0.02515883
158,2,14,0.1821721
158,3,11,0.002215995
158,3,12,0.05615165
159,1,17,0.06801531
159,1,18,0.09644485
159,2,13,0.02522752
159,2,14,0.1769438
159,3,11,0.002311497
159,3,12,0.05125393
