EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:00:42"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal100_cofF1
TimeSeries,new_data_weights_19742100_seal100_codF1
StartYear,1974

Data,CatchFleetGroup

TimeStep,Fleet,Group,Value
98,2,13,0.1267469
98,2,14,0.1107622
98,3,11,0.001919066
98,3,12,0.0404335
99,1,17,0.03877439
99,1,18,0.1176683
99,2,13,0.1278042
99,2,14,0.1085018
99,3,11,0.001902537
99,3,12,0.04080441
100,1,17,0.03764194
100,1,18,0.1199673
100,2,13,0.1284771
100,2,14,0.1065867
100,3,11,0.001891192
100,3,12,0.04135386
101,1,17,0.0364475
101,1,18,0.1221177
101,2,13,0.1287718
101,2,14,0.1050409
101,3,11,0.001883638
101,3,12,0.042066
102,1,17,0.03519891
102,1,18,0.124087
102,2,13,0.1287046
102,2,14,0.103875
102,3,11,0.001878374
102,3,12,0.0429196
103,1,17,0.03487736
103,1,18,0.1247304
103,2,13,0.1278241
103,2,14,0.1039481
103,3,11,0.001866592
103,3,12,0.04396061
104,1,17,0.03455846
104,1,18,0.12519
104,2,13,0.1266761
104,2,14,0.1044566
104,3,11,0.001851168
104,3,12,0.04510358
105,1,17,0.03424991
105,1,18,0.12546
105,2,13,0.125302
105,2,14,0.105406
105,3,11,0.001832977
105,3,12,0.04630661
106,1,17,0.03395791
106,1,18,0.1255458
106,2,13,0.1237599
106,2,14,0.1067836
106,3,11,0.001813662
106,3,12,0.04752711
107,1,17,0.03368958
107,1,18,0.1254625
107,2,13,0.1221166
107,2,14,0.1085547
107,3,11,0.001795283
107,3,12,0.04872427
108,1,17,0.03345064
108,1,18,0.1252335
108,2,13,0.1204357
108,2,14,0.1106728
108,3,11,0.001780348
108,3,12,0.04985885
109,1,17,0.0324603
109,1,18,0.1315576
109,2,13,0.1079508
109,2,14,0.1428068
109,3,11,0.002391007
109,3,12,0.02082494
110,1,17,0.03231135
110,1,18,0.1308819
110,2,13,0.1060205
110,2,14,0.1452993
110,3,11,0.002365757
110,3,12,0.02116212
111,1,17,0.0321742
111,1,18,0.1301294
111,2,13,0.1038696
111,2,14,0.1476762
111,3,11,0.002347471
111,3,12,0.02136259
112,1,17,0.03205692
112,1,18,0.1293391
112,2,13,0.1017115
112,2,14,0.1499197
112,3,11,0.00234883
112,3,12,0.02146394
113,1,17,0.03197451
113,1,18,0.1285425
113,2,13,0.09964508
113,2,14,0.1520107
113,3,11,0.002374327
113,3,12,0.02149454
114,1,17,0.03193604
114,1,18,0.1277684
114,2,13,0.09770668
114,2,14,0.1539332
114,3,11,0.002424116
114,3,12,0.02147471
115,1,17,0.03265179
115,1,18,0.1252183
115,2,13,0.09450281
115,2,14,0.1591258
115,3,11,0.002500846
115,3,12,0.02140454
116,1,17,0.03337339
116,1,18,0.1228422
116,2,13,0.09155167
116,2,14,0.1642051
116,3,11,0.002591777
116,3,12,0.02131657
117,1,17,0.03409212
117,1,18,0.1206655
117,2,13,0.08883236
117,2,14,0.1691101
117,3,11,0.002691066
117,3,12,0.02122032
118,1,17,0.03480604
118,1,18,0.1186877
118,2,13,0.08632999
118,2,14,0.1737919
118,3,11,0.00279304
118,3,12,0.02112449
119,1,17,0.03552907
119,1,18,0.1168724
119,2,13,0.08403306
119,2,14,0.1782142
119,3,11,0.002892447
119,3,12,0.02103692
120,1,17,0.03627181
120,1,18,0.1151879
120,2,13,0.08193301
120,2,14,0.1823494
120,3,11,0.002984429
120,3,12,0.02096492
121,1,17,0.04465434
121,1,18,0.1439319
121,2,13,0.06243975
121,2,14,0.183063
121,3,11,0.004368871
121,3,12,0.02541323
122,1,17,0.04541083
122,1,18,0.1406537
122,2,13,0.06118609
122,2,14,0.1866232
122,3,11,0.004463178
122,3,12,0.02536224
123,1,17,0.04620813
123,1,18,0.1376264
123,2,13,0.0601602
123,2,14,0.1900025
123,3,11,0.004545592
123,3,12,0.02537733
124,1,17,0.04703984
124,1,18,0.1348179
124,2,13,0.05931494
124,2,14,0.193185
124,3,11,0.004606449
124,3,12,0.02544675
125,1,17,0.04790014
125,1,18,0.1322048
125,2,13,0.05862153
125,2,14,0.1961639
125,3,11,0.004641316
125,3,12,0.02556026
126,1,17,0.04878311
126,1,18,0.1297701
126,2,13,0.05805978
126,2,14,0.1989441
126,3,11,0.004650218
126,3,12,0.0257063
127,1,17,0.04891729
127,1,18,0.1298211
127,2,13,0.05796418
127,2,14,0.2004497
127,3,11,0.00461529
127,3,12,0.02592319
128,1,17,0.04908555
128,1,18,0.129888
128,2,13,0.05792104
128,2,14,0.2017803
128,3,11,0.004565349
128,3,12,0.0261406
129,1,17,0.04928808
129,1,18,0.1299549
129,2,13,0.05792154
129,2,14,0.2029716
129,3,11,0.004507031
129,3,12,0.02634391
130,1,17,0.04952652
130,1,18,0.1300141
130,2,13,0.05795524
130,2,14,0.2040598
130,3,11,0.004444839
130,3,12,0.0265245
131,1,17,0.04980169
131,1,18,0.1300742
131,2,13,0.05801119
131,2,14,0.2050792
131,3,11,0.004381797
131,3,12,0.02667776
132,1,17,0.05010869
132,1,18,0.1301408
132,2,13,0.05807826
132,2,14,0.2060655
132,3,11,0.004319819
132,3,12,0.02680178
133,1,17,0.05582964
133,1,18,0.1078125
133,2,13,0.08515943
133,2,14,0.2017765
133,3,11,0.002798093
133,3,12,0.043523
134,1,17,0.05575795
134,1,18,0.1083283
134,2,13,0.0811424
134,2,14,0.1990288
134,3,11,0.002570761
134,3,12,0.04172646
135,1,17,0.05566263
135,1,18,0.1086576
135,2,13,0.07661133
135,2,14,0.1952785
135,3,11,0.002357975
135,3,12,0.03965446
136,1,17,0.05556374
136,1,18,0.1088112
136,2,13,0.07178819
136,2,14,0.1908231
136,3,11,0.002169291
136,3,12,0.03749894
137,1,17,0.055429
137,1,18,0.1088297
137,2,13,0.06682916
137,2,14,0.1859533
137,3,11,0.002004456
137,3,12,0.03540091
138,1,17,0.05522326
138,1,18,0.1087415
138,2,13,0.06186961
138,2,14,0.1809281
138,3,11,0.001859478
138,3,12,0.03345827
139,1,17,0.05597694
139,1,18,0.1072428
139,2,13,0.05772008
139,2,14,0.1745832
139,3,11,0.001729358
139,3,12,0.0317332
140,1,17,0.05665565
140,1,18,0.1057183
140,2,13,0.05362086
140,2,14,0.1685698
140,3,11,0.001606156
140,3,12,0.03025458
141,1,17,0.05725597
141,1,18,0.1041442
141,2,13,0.04966328
141,2,14,0.1630372
141,3,11,0.001485432
141,3,12,0.02903879
142,1,17,0.05778773
142,1,18,0.1025081
142,2,13,0.04590736
142,2,14,0.1580959
142,3,11,0.001364319
142,3,12,0.02808133
143,1,17,0.0582679
143,1,18,0.1008086
143,2,13,0.04239915
143,2,14,0.1538139
143,3,11,0.001242604
143,3,12,0.02736631
144,1,17,0.05871813
144,1,18,0.09905356
144,2,13,0.0391766
144,2,14,0.1502431
144,3,11,0.001122366
144,3,12,0.02687173
145,1,17,0.04393545
145,1,18,0.1286068
145,2,13,0.04010174
145,2,14,0.1372265
145,3,11,0.002432872
145,3,12,0.0319599
146,1,17,0.04472544
146,1,18,0.1249668
146,2,13,0.03883275
146,2,14,0.1374765
146,3,11,0.002299638
146,3,12,0.03300148
147,1,17,0.04564257
147,1,18,0.1217085
147,2,13,0.03796106
147,2,14,0.1392334
147,3,11,0.002168529
147,3,12,0.03456302
148,1,17,0.04664972
148,1,18,0.1188164
148,2,13,0.03713781
148,2,14,0.1420768
148,3,11,0.002026944
148,3,12,0.03630512
149,1,17,0.04770298
149,1,18,0.1162776
149,2,13,0.0362653
149,2,14,0.1455431
149,3,11,0.001888926
149,3,12,0.03794483
150,1,17,0.04876594
150,1,18,0.1140757
150,2,13,0.03539025
150,2,14,0.1492427
150,3,11,0.001776008
150,3,12,0.03931397
151,1,17,0.04872787
151,1,18,0.1143481
151,2,13,0.03447264
151,2,14,0.1531155
151,3,11,0.001728631
151,3,12,0.04028298
152,1,17,0.04863542
152,1,18,0.114665
152,2,13,0.03375786
152,2,14,0.156759
152,3,11,0.001753033
152,3,12,0.04089109
153,1,17,0.04848908
153,1,18,0.1150004
153,2,13,0.03332097
153,2,14,0.1600501
153,3,11,0.001858064
153,3,12,0.04116388
154,1,17,0.04828636
154,1,18,0.1153541
154,2,13,0.03323136
154,2,14,0.1629098
154,3,11,0.002048828
154,3,12,0.04114008
155,1,17,0.04801649
155,1,18,0.1157625
155,2,13,0.03355481
155,2,14,0.1652882
155,3,11,0.002327198
155,3,12,0.04086061
156,1,17,0.04768728
156,1,18,0.1162188
156,2,13,0.03435348
156,2,14,0.1671558
156,3,11,0.002691593
156,3,12,0.04036469
157,1,17,0.07195581
157,1,18,0.09475613
157,2,13,0.02505214
157,2,14,0.1855026
157,3,11,0.002094228
157,3,12,0.06046339
158,1,17,0.07009777
158,1,18,0.09572792
158,2,13,0.02515882
158,2,14,0.182172
158,3,11,0.002215995
158,3,12,0.05615162
159,1,17,0.06801533
159,1,18,0.09644487
159,2,13,0.0252275
159,2,14,0.1769438
159,3,11,0.002311496
159,3,12,0.05125391
160,1,17,0.06583498
160,1,18,0.09694131
160,2,13,0.02537914
160,2,14,0.1703139
160,3,11,0.002395349
160,3,12,0.0462451
161,1,17,0.06364476
161,1,18,0.09726009
161,2,13,0.0256219
161,2,14,0.1627056
161,3,11,0.002456208
161,3,12,0.04141372
162,1,17,0.06149122
162,1,18,0.09743348
162,2,13,0.0258723
162,2,14,0.1544738
162,3,11,0.002473402
162,3,12,0.03693391
163,1,17,0.05860028
163,1,18,0.09810859
163,2,13,0.02614128
163,2,14,0.145523
163,3,11,0.002428618
163,3,12,0.03292475
164,1,17,0.05579507
164,1,18,0.09854868
164,2,13,0.02613653
164,2,14,0.1364894
164,3,11,0.002318613
164,3,12,0.02947056
165,1,17,0.053073
165,1,18,0.09873727
165,2,13,0.02575565
165,2,14,0.1276096
165,3,11,0.002152848
165,3,12,0.02659777
166,1,17,0.05042863
166,1,18,0.0986417
166,2,13,0.02496486
166,2,14,0.119087
166,3,11,0.001950157
166,3,12,0.0242884
167,1,17,0.04785827
167,1,18,0.09822571
167,2,13,0.0237972
167,2,14,0.1110857
167,3,11,0.001730501
167,3,12,0.02248798
168,1,17,0.04536765
168,1,18,0.09746259
168,2,13,0.02233076
168,2,14,0.103726
168,3,11,0.001508896
168,3,12,0.02112417
169,1,17,0.05273366
169,1,18,0.09454226
169,2,13,0.03650729
169,2,14,0.09578825
169,3,11,0.0003452627
169,3,12,0.02021113
170,1,17,0.0497762
170,1,18,0.09318288
170,2,13,0.03579915
170,2,14,0.09102251
170,3,11,0.000321115
170,3,12,0.02043794
171,1,17,0.04719086
171,1,18,0.09166091
171,2,13,0.03616968
171,2,14,0.08785132
171,3,11,0.0003038883
171,3,12,0.02165397
172,1,17,0.04493087
172,1,18,0.09000673
