EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:44:30"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal0
StartYear,1974

Data,MortFleetGroup

Year,Fleet,Group,Value
2023,1,18,0.4755878
2023,2,13,0.09015363
2023,2,14,0.1573054
2023,3,11,0.0293207
2023,3,12,0.1023732
2024,1,17,0.2096243
2024,1,18,0.4755878
2024,2,13,0.09015363
2024,2,14,0.1573054
2024,3,11,0.0293207
2024,3,12,0.1023732
2025,1,17,0.2096243
2025,1,18,0.4755878
2025,2,13,0.09015363
2025,2,14,0.1573054
2025,3,11,0.0293207
2025,3,12,0.1023732
2026,1,17,0.2096243
2026,1,18,0.4755878
2026,2,13,0.09015363
2026,2,14,0.1573054
2026,3,11,0.0293207
2026,3,12,0.1023732
2027,1,17,0.2096243
2027,1,18,0.4755878
2027,2,13,0.09015363
2027,2,14,0.1573054
2027,3,11,0.0293207
2027,3,12,0.1023732
2028,1,17,0.2096243
2028,1,18,0.4755878
2028,2,13,0.09015363
2028,2,14,0.1573054
2028,3,11,0.0293207
2028,3,12,0.1023732
2029,1,17,0.2096243
2029,1,18,0.4755878
2029,2,13,0.09015363
2029,2,14,0.1573054
2029,3,11,0.0293207
2029,3,12,0.1023732
2030,1,17,0.2096243
2030,1,18,0.4755878
2030,2,13,0.09015363
2030,2,14,0.1573054
2030,3,11,0.0293207
2030,3,12,0.1023732
2031,1,17,0.2096243
2031,1,18,0.4755878
2031,2,13,0.09015363
2031,2,14,0.1573054
2031,3,11,0.0293207
2031,3,12,0.1023732
2032,1,17,0.2096243
2032,1,18,0.4755878
2032,2,13,0.09015363
2032,2,14,0.1573054
2032,3,11,0.0293207
2032,3,12,0.1023732
2033,1,17,0.2096243
2033,1,18,0.4755878
2033,2,13,0.09015363
2033,2,14,0.1573054
2033,3,11,0.0293207
2033,3,12,0.1023732
2034,1,17,0.2096243
2034,1,18,0.4755878
2034,2,13,0.09015363
2034,2,14,0.1573054
2034,3,11,0.0293207
2034,3,12,0.1023732
2035,1,17,0.2096243
2035,1,18,0.4755878
2035,2,13,0.09015363
2035,2,14,0.1573054
2035,3,11,0.0293207
2035,3,12,0.1023732
2036,1,17,0.2096243
2036,1,18,0.4755878
2036,2,13,0.09015363
2036,2,14,0.1573054
2036,3,11,0.0293207
2036,3,12,0.1023732
2037,1,17,0.2096243
2037,1,18,0.4755878
2037,2,13,0.09015363
2037,2,14,0.1573054
2037,3,11,0.0293207
2037,3,12,0.1023732
2038,1,17,0.2096243
2038,1,18,0.4755878
2038,2,13,0.09015363
2038,2,14,0.1573054
2038,3,11,0.0293207
2038,3,12,0.1023732
2039,1,17,0.2096243
2039,1,18,0.4755878
2039,2,13,0.09015363
2039,2,14,0.1573054
2039,3,11,0.0293207
2039,3,12,0.1023732
2040,1,17,0.2096243
2040,1,18,0.4755878
2040,2,13,0.09015363
2040,2,14,0.1573054
2040,3,11,0.0293207
2040,3,12,0.1023732
2041,1,17,0.2096243
2041,1,18,0.4755878
2041,2,13,0.09015363
2041,2,14,0.1573054
2041,3,11,0.0293207
2041,3,12,0.1023732
2042,1,17,0.2096243
2042,1,18,0.4755878
2042,2,13,0.09015363
2042,2,14,0.1573054
2042,3,11,0.0293207
2042,3,12,0.1023732
2043,1,17,0.2096243
2043,1,18,0.4755878
2043,2,13,0.09015363
2043,2,14,0.1573054
2043,3,11,0.0293207
2043,3,12,0.1023732
2044,1,17,0.2096243
2044,1,18,0.4755878
2044,2,13,0.09015363
2044,2,14,0.1573054
2044,3,11,0.0293207
2044,3,12,0.1023732
2045,1,17,0.2096243
2045,1,18,0.4755878
2045,2,13,0.09015363
2045,2,14,0.1573054
2045,3,11,0.0293207
2045,3,12,0.1023732
2046,1,17,0.2096243
2046,1,18,0.4755878
2046,2,13,0.09015363
2046,2,14,0.1573054
2046,3,11,0.0293207
2046,3,12,0.1023732
2047,1,17,0.2096243
2047,1,18,0.4755878
2047,2,13,0.09015363
2047,2,14,0.1573054
2047,3,11,0.0293207
2047,3,12,0.1023732
2048,1,17,0.2096243
2048,1,18,0.4755878
2048,2,13,0.09015363
2048,2,14,0.1573054
2048,3,11,0.0293207
2048,3,12,0.1023732
2049,1,17,0.2096243
2049,1,18,0.4755878
2049,2,13,0.09015363
2049,2,14,0.1573054
2049,3,11,0.0293207
2049,3,12,0.1023732
2050,1,17,0.2096243
2050,1,18,0.4755878
2050,2,13,0.09015363
2050,2,14,0.1573054
2050,3,11,0.0293207
2050,3,12,0.1023732
2051,1,17,0.2096243
2051,1,18,0.4755878
2051,2,13,0.09015363
2051,2,14,0.1573054
2051,3,11,0.0293207
2051,3,12,0.1023732
2052,1,17,0.2096243
2052,1,18,0.4755878
2052,2,13,0.09015363
2052,2,14,0.1573054
2052,3,11,0.0293207
2052,3,12,0.1023732
2053,1,17,0.2096243
2053,1,18,0.4755878
2053,2,13,0.09015363
2053,2,14,0.1573054
2053,3,11,0.0293207
2053,3,12,0.1023732
2054,1,17,0.2096243
2054,1,18,0.4755878
2054,2,13,0.09015363
2054,2,14,0.1573054
2054,3,11,0.0293207
2054,3,12,0.1023732
2055,1,17,0.2096243
2055,1,18,0.4755878
2055,2,13,0.09015363
2055,2,14,0.1573054
2055,3,11,0.0293207
2055,3,12,0.1023732
2056,1,17,0.2096243
2056,1,18,0.4755878
2056,2,13,0.09015363
2056,2,14,0.1573054
2056,3,11,0.0293207
2056,3,12,0.1023732
2057,1,17,0.2096243
2057,1,18,0.4755878
2057,2,13,0.09015363
2057,2,14,0.1573054
2057,3,11,0.0293207
2057,3,12,0.1023732
2058,1,17,0.2096243
2058,1,18,0.4755878
2058,2,13,0.09015363
2058,2,14,0.1573054
2058,3,11,0.0293207
2058,3,12,0.1023732
2059,1,17,0.2096243
2059,1,18,0.4755878
2059,2,13,0.09015363
2059,2,14,0.1573054
2059,3,11,0.0293207
2059,3,12,0.1023732
2060,1,17,0.2096243
2060,1,18,0.4755878
2060,2,13,0.09015363
2060,2,14,0.1573054
2060,3,11,0.0293207
2060,3,12,0.1023732
2061,1,17,0.2096243
2061,1,18,0.4755878
2061,2,13,0.09015363
2061,2,14,0.1573054
2061,3,11,0.0293207
2061,3,12,0.1023732
2062,1,17,0.2096243
2062,1,18,0.4755878
2062,2,13,0.09015363
2062,2,14,0.1573054
2062,3,11,0.0293207
2062,3,12,0.1023732
2063,1,17,0.2096243
2063,1,18,0.4755878
2063,2,13,0.09015363
2063,2,14,0.1573054
2063,3,11,0.0293207
2063,3,12,0.1023732
2064,1,17,0.2096243
2064,1,18,0.4755878
2064,2,13,0.09015363
2064,2,14,0.1573054
2064,3,11,0.0293207
2064,3,12,0.1023732
2065,1,17,0.2096243
2065,1,18,0.4755878
2065,2,13,0.09015363
2065,2,14,0.1573054
2065,3,11,0.0293207
2065,3,12,0.1023732
2066,1,17,0.2096243
2066,1,18,0.4755878
2066,2,13,0.09015363
2066,2,14,0.1573054
2066,3,11,0.0293207
2066,3,12,0.1023732
2067,1,17,0.2096243
2067,1,18,0.4755878
2067,2,13,0.09015363
2067,2,14,0.1573054
2067,3,11,0.0293207
2067,3,12,0.1023732
2068,1,17,0.2096243
2068,1,18,0.4755878
2068,2,13,0.09015363
2068,2,14,0.1573054
2068,3,11,0.0293207
2068,3,12,0.1023732
2069,1,17,0.2096243
2069,1,18,0.4755878
2069,2,13,0.09015363
2069,2,14,0.1573054
2069,3,11,0.0293207
2069,3,12,0.1023732
2070,1,17,0.2096243
2070,1,18,0.4755878
2070,2,13,0.09015363
